date,daily_quantity_실리콘_계란찜기(소),daily_quantity_실리콘_뒤짐개,daily_quantity_실리콘_볶음주걱,daily_quantity_내열장갑,daily_quantity_실리콘_계란찜기(대),daily_quantity_실리콘_도마(대),daily_quantity_실리콘_냄비잡이,daily_quantity_실리콘_스테인리스집게(소),daily_quantity_오픈수납함,daily_quantity_실리콘_계란찜기(중),daily_quantity_실리콘_도마(중),daily_quantity_실리콘_멀티스푼,daily_quantity_실리콘_비누받침,daily_quantity_실리콘_스테인리스집게(대),daily_quantity_실리콘_다용도 오일브러쉬,daily_quantity_실리콘_덮개세트_샤크
2022-01-03 0:00,0,0,0,0,0,0,0,0,184,0,0,0,0,40,0,0
2022-01-04 0:00,0,0,0,10,10,40,0,0,10,0,40,0,0,1,0,0
2022-01-05 0:00,0,30,0,0,0,36,0,10,1,0,18,60,0,12,0,30
2022-01-06 0:00,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
2022-01-07 0:00,0,0,30,0,0,0,0,0,10,0,0,17,0,0,0,0
2022-01-08 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-09 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-10 0:00,0,25,20,0,0,1,15,50,108,0,2,0,0,40,0,0
2022-01-11 0:00,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0
2022-01-12 0:00,0,70,70,60,0,60,120,0,22,0,90,90,0,0,0,0
2022-01-13 0:00,0,0,30,0,10,0,0,0,0,0,0,0,0,0,0,1
2022-01-14 0:00,0,120,120,0,0,0,0,0,1,0,0,40,0,0,0,0
2022-01-15 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-16 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-17 0:00,0,0,0,0,0,0,-40,7,195,0,0,12,0,27,0,0
2022-01-18 0:00,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
2022-01-19 0:00,0,0,0,0,0,0,0,0,10,0,0,15,0,0,0,0
2022-01-20 0:00,0,20,0,0,4,0,10,0,16,10,0,0,0,0,0,0
2022-01-21 0:00,0,0,0,0,-10,0,0,-51,2,0,0,0,0,-62,0,0
2022-01-22 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-23 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-24 0:00,0,0,0,0,0,0,0,0,113,0,0,0,0,20,0,10
2022-01-25 0:00,0,0,0,0,3,23,0,8,4,0,30,0,0,8,0,0
2022-01-26 0:00,0,0,0,0,0,10,0,0,-3,0,0,0,0,12,0,0
2022-01-27 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-28 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-29 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-30 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-31 0:00,4,0,0,0,0,0,0,4,402,5,1,0,0,0,0,0
2022-02-01 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-02 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-03 0:00,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
2022-02-04 0:00,0,0,15,15,0,0,0,0,7,0,0,0,0,0,0,0
2022-02-05 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-06 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-07 0:00,0,0,0,0,0,0,0,0,284,0,0,0,0,0,0,0
2022-02-08 0:00,0,0,0,0,0,12,1,1,8,0,12,0,0,0,0,0
2022-02-09 0:00,0,10,40,0,0,15,15,24,0,0,20,10,0,0,0,0
2022-02-10 0:00,0,0,0,0,0,0,0,43,12,3,0,0,0,36,0,0
2022-02-11 0:00,0,0,10,0,0,0,0,0,661,0,0,20,0,0,0,0
2022-02-12 0:00,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0
2022-02-13 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-14 0:00,0,60,0,30,0,9,40,0,564,0,18,0,0,0,0,0
2022-02-15 0:00,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0
2022-02-16 0:00,0,0,15,15,0,0,10,0,4,0,0,0,0,0,0,0
2022-02-17 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-18 0:00,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
2022-02-19 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-20 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-21 0:00,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,5
2022-02-22 0:00,0,40,50,0,0,0,0,0,-6,0,0,0,0,0,0,0
2022-02-23 0:00,0,0,30,0,0,0,3,0,0,0,0,10,0,0,0,0
2022-02-24 0:00,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0
2022-02-25 0:00,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
2022-02-26 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-27 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-28 0:00,0,0,0,0,0,2,0,0,674,13,1,1,0,20,0,1
2022-03-01 0:00,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-02 0:00,0,0,0,0,0,0,0,36,0,0,0,12,0,36,0,0
2022-03-03 0:00,0,0,0,0,0,0,0,0,2,0,32,5,0,0,0,0
2022-03-04 0:00,0,60,40,0,0,0,0,0,80,0,0,20,0,0,0,0
2022-03-05 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 0:00,0,0,0,30,0,0,0,0,316,0,30,0,0,20,0,0
2022-03-08 0:00,0,0,20,0,0,0,0,10,0,0,10,0,0,0,0,0
2022-03-09 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-10 0:00,0,145,100,0,0,5,10,36,0,0,0,0,0,36,0,0
2022-03-11 0:00,0,10,10,0,0,20,0,0,20,0,0,0,0,0,0,0
2022-03-12 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-13 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-14 0:00,0,0,0,0,0,0,0,0,240,0,0,15,0,40,0,0
2022-03-15 0:00,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
2022-03-16 0:00,0,0,0,0,0,6,0,3,0,0,6,0,0,5,0,0
2022-03-17 0:00,0,40,40,15,0,6,0,0,0,0,0,0,0,0,0,0
2022-03-18 0:00,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
2022-03-19 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-20 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-21 0:00,0,0,0,0,0,0,0,0,276,0,0,0,0,21,0,0
2022-03-22 0:00,0,400,0,0,48,0,0,0,0,60,120,0,0,0,0,0
2022-03-23 0:00,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
2022-03-24 0:00,0,0,0,0,2,0,0,0,0,0,0,10,0,0,0,0
2022-03-25 0:00,0,0,0,0,0,0,0,0,2,8,23,40,0,0,0,0
2022-03-26 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-27 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-28 0:00,0,40,40,0,0,0,0,0,26,0,0,40,0,0,0,0
2022-03-29 0:00,4,10,10,0,4,0,0,0,6,4,0,0,0,6,0,10
2022-03-30 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-31 0:00,10,0,0,0,0,0,0,2,546,4,1,0,0,8,0,0
2022-04-01 0:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2022-04-02 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-03 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-04 0:00,0,0,0,60,3,0,0,0,15,0,0,0,0,80,0,1
2022-04-05 0:00,0,0,0,0,0,0,0,0,0,0,7,0,0,6,0,30
2022-04-06 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-07 0:00,0,0,0,0,0,0,40,0,140,0,0,0,0,0,0,0
2022-04-08 0:00,0,190,100,0,0,20,12,0,2,0,20,30,0,5,0,0
2022-04-09 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-10 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-11 0:00,0,0,0,0,0,0,0,0,13,0,0,0,0,20,0,0
2022-04-12 0:00,3,0,10,0,0,0,0,41,6,3,0,5,0,36,0,5
